"","FireName","TimeStep","id","time","temp","rh","prec","wd","ws","visibility_km","weather","fueltype","lat","long","tz_loc","mon","day","hr","yr","minute","julian","percent_cured","date","timestamp","timezone","solrad","sunrise","sunset","sunlight_hours","mcffmc","ffmc","dmc","dc","isi","bui","fwi","dsr","mcgfmc","gfmc","gsi","Accel","cc","ID","CFB","CFC","FD","HFI","RAZ","ROS","SFC","TFC","BE","SF","ISI","FFMC","FMC","D0","RSO","CSI","FROS","BROS","HROSt","FROSt","BROSt","FCFB","BCFB","FFI","BFI","FTFC","BTFC","TI","FTI","BTI","LB","LBt","WSV","DH","DB","DF","TROS","TROSt","TCFB","TFI","TTFC","TTI","mgROS","DT","mgHFI","A","deltaA","MW","MWfrp","MWconv","Bflux","zHfluxm","ReportedFinalArea","TimetoFirstWarning","TimetoFirstAlert"
"11","VC-02",5,"QUEBEC INTL A",2023-05-23 11:00:00,11,51,0,24,15,48.3,NA,"O-1a",46.9,-71.5,"America/Toronto",5,23,0.833333333333333,2023,0,143,75.28,2023-05-23,2023-05-23 11:00:00,-5,0.419102733505497,4.04830997972845,19.3651081997211,15.3167982199926,16.0388481168998,80.4503910008032,17.9503534424337,75.1127032742475,4.63198643251111,22.4737969976109,7.91289360223616,1.05833322727804,14.7339902028384,80.4503910008032,17.3289714347717,0,75.28,"QUEBEC INTL A",0,0,"S",603.392715135818,197.00450923267,5.74659728700779,0.35,0.35,1,1.53909146369689,4.63198643251111,80.4503910008032,0,0,0,0,0.66193393401401,0.215776216783236,5.74659728700779,0.66193393401401,0.215776216783236,0,0,69.503063071471,22.6565027622398,0.35,0.35,0,0,0,4.50375271413781,4.50375271413781,20.8620719555648,287.329864350389,10.7888108391618,33.0966967007005,0.0899947519060276,0.0899947519060276,0,9.4494489501329,0.35,0,15.6116859772718,809.894083154544,1.63922702761354,11.4385716477605,4.11788579319378,432.378008285347,66.1538352676581,224.83656430838,5976.58390580677,528.875115765823,75,NA,202
"12","VC-02",6,"QUEBEC INTL A",2023-05-23 11:00:00,11,51,0,24,15,48.3,NA,"O-1a",46.9,-71.5,"America/Toronto",5,23,1,2023,0,143,75.28,2023-05-23,2023-05-23 11:00:00,-5,0.419102733505497,4.04830997972845,19.3651081997211,15.3167982199926,16.0388481168998,80.4503910008032,17.9503534424337,75.1127032742475,4.63198643251111,22.4737969976109,7.91289360223616,1.05833322727804,14.7339902028384,80.4503910008032,17.3289714347717,0,75.28,"QUEBEC INTL A",0,0,"S",603.392715135818,197.00450923267,5.74659728700779,0.35,0.35,1,1.53909146369689,4.63198643251111,80.4503910008032,0,0,0,0,0.66193393401401,0.215776216783236,5.74659728700779,0.66193393401401,0.215776216783236,0,0,69.503063071471,22.6565027622398,0.35,0.35,0,0,0,4.50375271413781,4.50375271413781,20.8620719555648,344.795837220467,12.9465730069942,39.7160360408406,0.0899947519060276,0.0899947519060276,0,9.4494489501329,0.35,0,15.6116859772718,971.872899785453,1.63922702761354,16.4715431727751,5.03297152501463,528.462010126536,80.85468754936,274.800245265799,7304.71366265273,565.461696699799,75,NA,202
"13","VC-02",7,"QUEBEC INTL A",2023-05-23 11:00:00,11,51,0,24,15,48.3,NA,"O-1a",46.9,-71.5,"America/Toronto",5,23,1.16666666666667,2023,0,143,75.28,2023-05-23,2023-05-23 11:00:00,-5,0.419102733505497,4.04830997972845,19.3651081997211,15.3167982199926,16.0388481168998,80.4503910008032,17.9503534424337,75.1127032742475,4.63198643251111,22.4737969976109,7.91289360223616,1.05833322727804,14.7339902028384,80.4503910008032,17.3289714347717,0,75.28,"QUEBEC INTL A",0,0,"S",603.392715135818,197.00450923267,5.74659728700779,0.35,0.35,1,1.53909146369689,4.63198643251111,80.4503910008032,0,0,0,0,0.66193393401401,0.215776216783236,5.74659728700779,0.66193393401401,0.215776216783236,0,0,69.503063071471,22.6565027622398,0.35,0.35,0,0,0,4.50375271413781,4.50375271413781,20.8620719555648,402.261810090545,15.1043351748265,46.3353753809807,0.0899947519060276,0.0899947519060276,0,9.4494489501329,0.35,0,15.6116859772718,1133.85171641636,1.63922702761354,22.4196004296106,5.94805725683547,624.546011967724,95.5555398310618,324.763926223217,8632.84341949869,597.842448170168,75,NA,202
"14","VC-02",8,"QUEBEC INTL A",2023-05-23 11:00:00,11,51,0,24,15,48.3,NA,"O-1a",46.9,-71.5,"America/Toronto",5,23,1.33333333333333,2023,0,143,75.28,2023-05-23,2023-05-23 11:00:00,-5,0.419102733505497,4.04830997972845,19.3651081997211,15.3167982199926,16.0388481168998,80.4503910008032,17.9503534424337,75.1127032742475,4.63198643251111,22.4737969976109,7.91289360223616,1.05833322727804,14.7339902028384,80.4503910008032,17.3289714347717,0,75.28,"QUEBEC INTL A",0,0,"S",603.392715135818,197.00450923267,5.74659728700779,0.35,0.35,1,1.53909146369689,4.63198643251111,80.4503910008032,0,0,0,0,0.66193393401401,0.215776216783236,5.74659728700779,0.66193393401401,0.215776216783236,0,0,69.503063071471,22.6565027622398,0.35,0.35,0,0,0,4.50375271413781,4.50375271413781,20.8620719555648,459.727782960623,17.2620973426589,52.9547147211208,0.0899947519060276,0.0899947519060276,0,9.4494489501329,0.35,0,15.6116859772718,1295.83053304727,1.63922702761354,29.2827434182669,6.86314298865631,720.630013808912,110.256392112764,374.727607180634,9960.97317634463,627.050786059621,75,NA,202
"15","VC-02",9,"QUEBEC INTL A",2023-05-23 11:00:00,11,51,0,24,15,48.3,NA,"O-1a",46.9,-71.5,"America/Toronto",5,23,1.5,2023,0,143,75.28,2023-05-23,2023-05-23 11:00:00,-5,0.419102733505497,4.04830997972845,19.3651081997211,15.3167982199926,16.0388481168998,80.4503910008032,17.9503534424337,75.1127032742475,4.63198643251111,22.4737969976109,7.91289360223616,1.05833322727804,14.7339902028384,80.4503910008032,17.3289714347717,0,75.28,"QUEBEC INTL A",0,0,"S",603.392715135818,197.00450923267,5.74659728700779,0.35,0.35,1,1.53909146369689,4.63198643251111,80.4503910008032,0,0,0,0,0.66193393401401,0.215776216783236,5.74659728700779,0.66193393401401,0.215776216783236,0,0,69.503063071471,22.6565027622398,0.35,0.35,0,0,0,4.50375271413781,4.50375271413781,20.8620719555648,517.193755830701,19.4198595104913,59.5740540612609,0.0899947519060276,0.0899947519060276,0,9.4494489501329,0.35,0,15.6116859772718,1457.80934967818,1.63922702761354,37.060972138744,7.77822872047714,816.714015650099,124.957244394465,424.691288138052,11289.1029331906,653.76540784336,75,NA,202
"16","VC-02",10,"QUEBEC INTL A",2023-05-23 11:00:00,11,51,0,24,15,48.3,NA,"O-1a",46.9,-71.5,"America/Toronto",5,23,1.66666666666667,2023,0,143,75.28,2023-05-23,2023-05-23 11:00:00,-5,0.419102733505497,4.04830997972845,19.3651081997211,15.3167982199926,16.0388481168998,80.4503910008032,17.9503534424337,75.1127032742475,4.63198643251111,22.4737969976109,7.91289360223616,1.05833322727804,14.7339902028384,80.4503910008032,17.3289714347717,0,75.28,"QUEBEC INTL A",0,0,"S",603.392715135818,197.00450923267,5.74659728700779,0.35,0.35,1,1.53909146369689,4.63198643251111,80.4503910008032,0,0,0,0,0.66193393401401,0.215776216783236,5.74659728700779,0.66193393401401,0.215776216783236,0,0,69.503063071471,22.6565027622398,0.35,0.35,0,0,0,4.50375271413781,4.50375271413781,20.8620719555648,574.659728700779,21.5776216783236,66.193393401401,0.0899947519060276,0.0899947519060276,0,9.4494489501329,0.35,0,15.6116859772718,1619.78816630909,1.63922702761354,45.754286591042,8.69331445229799,912.798017491289,139.658096676167,474.65496909547,12617.2326900365,678.458827109641,75,NA,202
"17","VC-02",11,"QUEBEC INTL A",2023-05-23 11:00:00,11,51,0,24,15,48.3,NA,"O-1a",46.9,-71.5,"America/Toronto",5,23,1.83333333333333,2023,0,143,75.28,2023-05-23,2023-05-23 11:00:00,-5,0.419102733505497,4.04830997972845,19.3651081997211,15.3167982199926,16.0388481168998,80.4503910008032,17.9503534424337,75.1127032742475,4.63198643251111,22.4737969976109,7.91289360223616,1.05833322727804,14.7339902028384,80.4503910008032,17.3289714347717,0,75.28,"QUEBEC INTL A",0,0,"S",603.392715135818,197.00450923267,5.74659728700779,0.35,0.35,1,1.53909146369689,4.63198643251111,80.4503910008032,0,0,0,0,0.66193393401401,0.215776216783236,5.74659728700779,0.66193393401401,0.215776216783236,0,0,69.503063071471,22.6565027622398,0.35,0.35,0,0,0,4.50375271413781,4.50375271413781,20.8620719555648,632.125701570857,23.735383846156,72.8127327415411,0.0899947519060276,0.0899947519060276,0,9.4494489501329,0.35,0,15.6116859772718,1781.76698294,1.63922702761354,55.3626867751609,9.60840018411884,1008.88201933248,154.358948957869,524.618650052888,13945.3624468825,701.474780488346,75,NA,202
"18","VC-02",12,"QUEBEC INTL A",2023-05-23 11:00:00,11,51,0,24,15,48.3,NA,"O-1a",46.9,-71.5,"America/Toronto",5,23,2,2023,0,143,75.28,2023-05-23,2023-05-23 11:00:00,-5,0.419102733505497,4.04830997972845,19.3651081997211,15.3167982199926,16.0388481168998,80.4503910008032,17.9503534424337,75.1127032742475,4.63198643251111,22.4737969976109,7.91289360223616,1.05833322727804,14.7339902028384,80.4503910008032,17.3289714347717,0,75.28,"QUEBEC INTL A",0,0,"S",603.392715135818,197.00450923267,5.74659728700779,0.35,0.35,1,1.53909146369689,4.63198643251111,80.4503910008032,0,0,0,0,0.66193393401401,0.215776216783236,5.74659728700779,0.66193393401401,0.215776216783236,0,0,69.503063071471,22.6565027622398,0.35,0.35,0,0,0,4.50375271413781,4.50375271413781,20.8620719555648,689.591674440935,25.8931460139883,79.4320720816812,0.0899947519060276,0.0899947519060276,0,9.4494489501329,0.35,0,15.6116859772718,1943.74579957091,1.63922702761354,65.8861726911005,10.5234859159397,1104.96602117367,169.059801239571,574.582331010306,15273.4922037284,723.072051964162,75,NA,202
"19","VC-02",13,"QUEBEC INTL A",2023-05-23 11:00:00,11,51,0,24,15,48.3,NA,"O-1a",46.9,-71.5,"America/Toronto",5,23,2.16666666666667,2023,0,143,75.28,2023-05-23,2023-05-23 11:00:00,-5,0.419102733505497,4.04830997972845,19.3651081997211,15.3167982199926,16.0388481168998,80.4503910008032,17.9503534424337,75.1127032742475,4.63198643251111,22.4737969976109,7.91289360223616,1.05833322727804,14.7339902028384,80.4503910008032,17.3289714347717,0,75.28,"QUEBEC INTL A",0,0,"S",603.392715135818,197.00450923267,5.74659728700779,0.35,0.35,1,1.53909146369689,4.63198643251111,80.4503910008032,0,0,0,0,0.66193393401401,0.215776216783236,5.74659728700779,0.66193393401401,0.215776216783236,0,0,69.503063071471,22.6565027622398,0.35,0.35,0,0,0,4.50375271413781,4.50375271413781,20.8620719555648,747.057647311012,28.0509081818207,86.0514114218213,0.0899947519060276,0.0899947519060276,0,9.4494489501329,0.35,0,15.6116859772718,2105.72461620182,1.63922702761354,77.3247443388611,11.4385716477605,1201.05002301485,183.760653521273,624.546011967724,16601.6219605744,743.450914170233,75,NA,202
"20","VC-02",14,"QUEBEC INTL A",2023-05-23 11:00:00,11,51,0,24,15,48.3,NA,"O-1a",46.9,-71.5,"America/Toronto",5,23,2.33333333333333,2023,0,143,75.28,2023-05-23,2023-05-23 11:00:00,-5,0.419102733505497,4.04830997972845,19.3651081997211,15.3167982199926,16.0388481168998,80.4503910008032,17.9503534424337,75.1127032742475,4.63198643251111,22.4737969976109,7.91289360223616,1.05833322727804,14.7339902028384,80.4503910008032,17.3289714347717,0,75.28,"QUEBEC INTL A",0,0,"S",603.392715135818,197.00450923267,5.74659728700779,0.35,0.35,1,1.53909146369689,4.63198643251111,80.4503910008032,0,0,0,0,0.66193393401401,0.215776216783236,5.74659728700779,0.66193393401401,0.215776216783236,0,0,69.503063071471,22.6565027622398,0.35,0.35,0,0,0,4.50375271413781,4.50375271413781,20.8620719555648,804.52362018109,30.2086703496531,92.6707507619614,0.0899947519060276,0.0899947519060276,0,9.4494489501329,0.35,0,15.6116859772718,2267.70343283272,1.63922702761354,89.6784017184424,12.3536573795814,1297.13402485604,198.461505802975,674.509692925142,17929.7517174203,762.76990845954,75,NA,202
"21","VC-03",1,"QUEBEC INTL A",2023-05-29 10:00:00,14.9,45,0,7,21,48.3,"Mainly Clear","O-1a",46.9,-71.5,"America/Toronto",5,29,0.166666666666667,2023,0,149,69.64,2023-05-29,2023-05-29 10:00:00,-5,0.473877112363751,3.96083982965942,19.473150472396,15.5123106427366,13.0574293544021,77.1032683451545,33.8636908424337,113.629703274247,9.16915243232476,38.8112552205109,18.3616547438718,4.69561866439495,13.1977102667132,77.1032683451545,23.0957741972499,0,69.64,"QUEBEC INTL A",0,0,"S",1108.95836739494,184.938159720368,10.5615082609042,0.35,0.35,1,1.83798723667205,9.16915243232476,77.1032683451545,0,0,0,0,1.00031869613471,0.0586276836343668,10.5615082609042,1.00031869613471,0.0586276836343668,0,0,105.033463094144,6.15590678160851,0.35,0.35,0,0,0,5.30837621328853,5.30837621328853,29.7309695237355,105.615082609042,0.586276836343668,10.0031869613471,0.0996064273525065,0.0996064273525065,0,10.4586748720132,0.35,0,20.8070037813062,209.225049393733,2.18473539703715,0.647672630673627,0.647672630673627,68.0056262207308,10.4048608117718,35.36292563478,927.280108442608,254.036680429088,6,NA,NA
"22","VC-03",2,"QUEBEC INTL A",2023-05-29 10:00:00,14.9,45,0,7,21,48.3,"Mainly Clear","O-1a",46.9,-71.5,"America/Toronto",5,29,0.333333333333333,2023,0,149,69.64,2023-05-29,2023-05-29 10:00:00,-5,0.473877112363751,3.96083982965942,19.473150472396,15.5123106427366,13.0574293544021,77.1032683451545,33.8636908424337,113.629703274247,9.16915243232476,38.8112552205109,18.3616547438718,4.69561866439495,13.1977102667132,77.1032683451545,23.0957741972499,0,69.64,"QUEBEC INTL A",0,0,"S",1108.95836739494,184.938159720368,10.5615082609042,0.35,0.35,1,1.83798723667205,9.16915243232476,77.1032683451545,0,0,0,0,1.00031869613471,0.0586276836343668,10.5615082609042,1.00031869613471,0.0586276836343668,0,0,105.033463094144,6.15590678160851,0.35,0.35,0,0,0,5.30837621328853,5.30837621328853,29.7309695237355,211.230165218084,1.17255367268734,20.0063739226942,0.0996064273525065,0.0996064273525065,0,10.4586748720132,0.35,0,20.8070037813062,418.450098787466,2.18473539703715,2.59069052269451,1.94301789202088,204.016878662192,31.2145824353154,106.08877690434,2781.84032532783,366.384293191173,6,NA,NA
"23","VC-03",3,"QUEBEC INTL A",2023-05-29 10:00:00,14.9,45,0,7,21,48.3,"Mainly Clear","O-1a",46.9,-71.5,"America/Toronto",5,29,0.5,2023,0,149,69.64,2023-05-29,2023-05-29 10:00:00,-5,0.473877112363751,3.96083982965942,19.473150472396,15.5123106427366,13.0574293544021,77.1032683451545,33.8636908424337,113.629703274247,9.16915243232476,38.8112552205109,18.3616547438718,4.69561866439495,13.1977102667132,77.1032683451545,23.0957741972499,0,69.64,"QUEBEC INTL A",0,0,"S",1108.95836739494,184.938159720368,10.5615082609042,0.35,0.35,1,1.83798723667205,9.16915243232476,77.1032683451545,0,0,0,0,1.00031869613471,0.0586276836343668,10.5615082609042,1.00031869613471,0.0586276836343668,0,0,105.033463094144,6.15590678160851,0.35,0.35,0,0,0,5.30837621328853,5.30837621328853,29.7309695237355,316.845247827126,1.758830509031,30.0095608840413,0.0996064273525065,0.0996064273525065,0,10.4586748720132,0.35,0,20.8070037813062,627.675148181199,2.18473539703715,5.82905367606264,3.23836315336813,340.028131103654,52.0243040588591,176.8146281739,4636.40054221304,434.396613107336,6,NA,NA
