id,time,temp,rh,prec,wd,ws,Visibility_km,Weather
QUEBEC INTL A,2023-05-06 09:00,17.9,45,0,22,16,48.3,NA
QUEBEC INTL A,2023-05-06 10:00,20.3,40,0,22,30,48.3,Mainly Clear
QUEBEC INTL A,2023-05-06 11:00,21.8,27,0,33,7,48.3,NA
QUEBEC INTL A,2023-05-06 12:00,23,24,0,31,14,48.3,NA
QUEBEC INTL A,2023-05-06 13:00,23.4,24,0,32,12,48.3,Mainly Clear
QUEBEC INTL A,2023-05-06 14:00,23.4,22,0,32,15,48.3,NA
QUEBEC INTL A,2023-05-06 15:00,24.5,21,0,30,14,48.3,NA
QUEBEC INTL A,2023-05-06 16:00,24.2,22,0,31,14,48.3,Mainly Clear
QUEBEC INTL A,2023-05-06 17:00,23.7,22,0,30,10,48.3,NA
QUEBEC INTL A,2023-05-06 18:00,21.4,25,0,29,8,48.3,NA
QUEBEC INTL A,2023-05-06 19:00,20.1,28,0,30,4,48.3,Mainly Clear
QUEBEC INTL A,2023-05-06 20:00,15.5,45,0,,0,24.1,NA
QUEBEC INTL A,2023-05-06 21:00,16.1,38,0,1,7,24.1,NA
QUEBEC INTL A,2023-05-06 22:00,13.3,47,0,33,3,24.1,Mainly Clear
QUEBEC INTL A,2023-05-06 23:00,14.2,43,0,1,5,24.1,NA
QUEBEC INTL A,2023-05-07 00:00,11.6,52,0,6,4,24.1,NA
QUEBEC INTL A,2023-05-07 01:00,9.7,60,0,8,3,24.1,Clear
QUEBEC INTL A,2023-05-07 02:00,9.5,58,0,12,3,24.1,NA
QUEBEC INTL A,2023-05-07 03:00,8.2,64,0,10,7,24.1,NA
QUEBEC INTL A,2023-05-07 04:00,7.7,65,0,11,4,48.3,Mainly Clear
QUEBEC INTL A,2023-05-07 05:00,7.8,67,0,29,5,48.3,NA
QUEBEC INTL A,2023-05-07 06:00,11.6,57,0,21,17,48.3,NA
QUEBEC INTL A,2023-05-07 07:00,13.9,52,0,22,14,48.3,Mainly Clear
QUEBEC INTL A,2023-05-07 08:00,16,36,0,28,18,48.3,NA
QUEBEC INTL A,2023-05-07 09:00,16.9,32,0,27,16,48.3,NA
QUEBEC INTL A,2023-05-07 10:00,18.1,28,0,28,18,48.3,Clear
QUEBEC INTL A,2023-05-07 11:00,19.1,28,0,28,21,48.3,NA
QUEBEC INTL A,2023-05-07 12:00,19.6,29,0,27,22,48.3,NA
QUEBEC INTL A,2023-05-07 13:00,20.4,26,0,24,20,48.3,Mainly Clear
QUEBEC INTL A,2023-05-07 14:00,20.8,23,0,30,19,48.3,NA
QUEBEC INTL A,2023-05-07 15:00,21.1,24,0,30,15,48.3,NA
QUEBEC INTL A,2023-05-07 16:00,20.9,25,0,31,15,48.3,Mostly Cloudy
QUEBEC INTL A,2023-05-07 17:00,20.2,25,0,30,16,48.3,NA
QUEBEC INTL A,2023-05-07 18:00,19.2,27,0,29,16,48.3,NA
QUEBEC INTL A,2023-05-07 19:00,16.9,31,0,29,9,48.3,Mostly Cloudy
QUEBEC INTL A,2023-05-07 20:00,15.2,34,0,29,7,24.1,NA
QUEBEC INTL A,2023-05-07 21:00,14.9,33,0,31,9,24.1,NA
QUEBEC INTL A,2023-05-07 22:00,13.3,42,0,,0,24.1,Mostly Cloudy
QUEBEC INTL A,2023-05-07 23:00,13.2,39,0,34,4,24.1,NA
QUEBEC INTL A,2023-05-08 00:00,12.6,40,0,35,8,24.1,NA
QUEBEC INTL A,2023-05-08 01:00,11.1,43,0,33,6,24.1,Mostly Cloudy
QUEBEC INTL A,2023-05-08 02:00,9.1,47,0,34,7,24.1,NA
QUEBEC INTL A,2023-05-08 03:00,8.1,47,0,35,5,24.1,NA
QUEBEC INTL A,2023-05-08 04:00,6.8,50,0,33,4,24.1,Clear
QUEBEC INTL A,2023-05-08 05:00,6.5,51,0,31,4,48.3,NA
QUEBEC INTL A,2023-05-08 06:00,7.8,47,0,33,9,40.2,NA
QUEBEC INTL A,2023-05-08 07:00,8.2,40,0,1,21,40.2,Mainly Clear
QUEBEC INTL A,2023-05-08 08:00,8.7,37,0,33,15,40.2,NA
QUEBEC INTL A,2023-05-08 09:00,9.7,34,0,35,10,40.2,NA
QUEBEC INTL A,2023-05-08 10:00,10.4,28,0,34,13,40.2,Mostly Cloudy
QUEBEC INTL A,2023-05-08 11:00,12.4,29,0,36,14,48.3,NA
QUEBEC INTL A,2023-05-08 12:00,12.3,27,0,1,17,40.2,NA
QUEBEC INTL A,2023-05-08 13:00,13.3,26,0,30,19,40.2,Mostly Cloudy
QUEBEC INTL A,2023-05-08 14:00,13.3,27,0,36,18,40.2,NA
QUEBEC INTL A,2023-05-08 15:00,13.2,25,0,32,16,40.2,NA
QUEBEC INTL A,2023-05-08 16:00,13.2,24,0,34,16,48.3,Mostly Cloudy
QUEBEC INTL A,2023-05-08 17:00,13.1,25,0,34,11,48.3,NA
QUEBEC INTL A,2023-05-08 18:00,11.4,25,0,33,14,48.3,NA
QUEBEC INTL A,2023-05-08 19:00,10.1,27,0,1,15,48.3,Mainly Clear
QUEBEC INTL A,2023-05-08 20:00,8.4,31,0,1,5,24.1,NA
QUEBEC INTL A,2023-05-08 21:00,7.7,34,0,1,7,24.1,NA
QUEBEC INTL A,2023-05-08 22:00,5.9,40,0,36,3,24.1,Mainly Clear
QUEBEC INTL A,2023-05-08 23:00,4.2,46,0,33,5,24.1,NA
QUEBEC INTL A,2023-05-09 00:00,2.5,57,0,30,5,24.1,NA
QUEBEC INTL A,2023-05-09 01:00,3.1,56,0,35,5,24.1,Mainly Clear
QUEBEC INTL A,2023-05-09 02:00,1.2,64,0,10,4,24.1,NA
QUEBEC INTL A,2023-05-09 03:00,1.1,63,0,7,4,24.1,NA
QUEBEC INTL A,2023-05-09 04:00,0.4,70,0,7,4,48.3,Clear
QUEBEC INTL A,2023-05-09 05:00,1,67,0,35,8,48.3,NA
QUEBEC INTL A,2023-05-09 06:00,4,65,0,28,4,48.3,NA
QUEBEC INTL A,2023-05-09 07:00,7,47,0,35,7,48.3,Clear
QUEBEC INTL A,2023-05-09 08:00,8.2,40,0,36,3,48.3,NA
QUEBEC INTL A,2023-05-09 09:00,10.1,30,0,33,12,48.3,NA
QUEBEC INTL A,2023-05-09 10:00,10,32,0,25,13,48.3,Mainly Clear
QUEBEC INTL A,2023-05-09 11:00,12,24,0,29,6,48.3,NA
QUEBEC INTL A,2023-05-09 12:00,11.8,24,0,,0,48.3,NA
QUEBEC INTL A,2023-05-09 13:00,,,0,,,,
QUEBEC INTL A,2023-05-09 14:00,14.5,22,0,33,12,48.3,NA
QUEBEC INTL A,2023-05-09 15:00,14.4,21,0,31,13,48.3,NA
QUEBEC INTL A,2023-05-09 16:00,14.9,22,0,31,9,48.3,Mainly Clear
QUEBEC INTL A,2023-05-09 17:00,14.3,22,0,31,8,48.3,NA
QUEBEC INTL A,2023-05-09 18:00,13.7,21,0,28,9,48.3,NA
QUEBEC INTL A,2023-05-09 19:00,10.8,29,0,30,7,48.3,Clear
QUEBEC INTL A,2023-05-09 20:00,8.7,34,0,26,8,24.1,NA
QUEBEC INTL A,2023-05-09 21:00,5.5,45,0,28,3,24.1,NA
QUEBEC INTL A,2023-05-09 22:00,5.4,45,0,29,5,24.1,Mainly Clear
QUEBEC INTL A,2023-05-09 23:00,4.3,47,0,,0,24.1,NA
QUEBEC INTL A,2023-05-10 00:00,3.2,58,0,10,8,24.1,NA
QUEBEC INTL A,2023-05-10 01:00,4.7,49,0,6,7,24.1,Mostly Cloudy
QUEBEC INTL A,2023-05-10 02:00,3.5,56,0,9,4,24.1,NA
QUEBEC INTL A,2023-05-10 03:00,3.2,73,0,4,4,24.1,NA
QUEBEC INTL A,2023-05-10 04:00,3.5,59,0,,0,32.2,Mostly Cloudy
QUEBEC INTL A,2023-05-10 05:00,2.4,77,0,27,5,32.2,NA
QUEBEC INTL A,2023-05-10 06:00,4.9,58,0,25,13,40.2,NA
QUEBEC INTL A,2023-05-10 07:00,7.6,47,0,24,24,40.2,Mostly Cloudy
QUEBEC INTL A,2023-05-10 08:00,10.5,43,0,25,18,40.2,NA
QUEBEC INTL A,2023-05-10 09:00,14,38,0,24,12,40.2,NA
QUEBEC INTL A,2023-05-10 10:00,15.1,35,0,21,27,40.2,Mainly Clear
QUEBEC INTL A,2023-05-10 11:00,18.1,23,0,27,23,48.3,NA
QUEBEC INTL A,2023-05-10 12:00,19.7,23,0,27,26,40.2,NA
QUEBEC INTL A,2023-05-10 13:00,21.1,23,0,27,23,40.2,Mostly Cloudy
QUEBEC INTL A,2023-05-10 14:00,21.3,20,0,29,15,40.2,NA
QUEBEC INTL A,2023-05-10 15:00,21.9,21,0,29,16,48.3,NA
QUEBEC INTL A,2023-05-10 16:00,22.3,20,0,31,14,48.3,Mainly Clear
QUEBEC INTL A,2023-05-10 17:00,21.9,22,0,29,10,48.3,NA
QUEBEC INTL A,2023-05-10 18:00,20.8,23,0,29,9,48.3,NA
QUEBEC INTL A,2023-05-10 19:00,19.5,25,0,31,8,48.3,Mainly Clear
QUEBEC INTL A,2023-05-10 20:00,15.6,34,0,,0,24.1,NA
QUEBEC INTL A,2023-05-10 21:00,15.3,36,0,28,5,24.1,NA
QUEBEC INTL A,2023-05-10 22:00,11.6,48,0,31,5,24.1,Clear
QUEBEC INTL A,2023-05-10 23:00,13.1,41,0,36,7,24.1,NA
QUEBEC INTL A,2023-05-11 00:00,10.1,55,0,36,3,24.1,NA
QUEBEC INTL A,2023-05-11 01:00,6.5,76,0,33,6,24.1,Clear
QUEBEC INTL A,2023-05-11 02:00,7.1,70,0,7,4,24.1,NA
QUEBEC INTL A,2023-05-11 03:00,5.4,76,0,5,7,24.1,NA
QUEBEC INTL A,2023-05-11 04:00,6.5,69,0,36,3,48.3,Mainly Clear
QUEBEC INTL A,2023-05-11 05:00,3.9,84,0,17,3,48.3,NA
QUEBEC INTL A,2023-05-11 06:00,7.1,75,0,36,3,48.3,NA
QUEBEC INTL A,2023-05-11 07:00,10.9,62,0,24,9,48.3,Clear
QUEBEC INTL A,2023-05-11 08:00,14.5,51,0,23,12,48.3,NA
QUEBEC INTL A,2023-05-11 09:00,17.2,47,0,21,16,48.3,NA
QUEBEC INTL A,2023-05-11 10:00,19,43,0,19,13,48.3,Mainly Clear
QUEBEC INTL A,2023-05-11 11:00,20.7,27,0,28,17,48.3,NA
QUEBEC INTL A,2023-05-11 12:00,21.6,26,0,27,20,48.3,NA
QUEBEC INTL A,2023-05-11 13:00,21.8,23,0,33,7,48.3,Mainly Clear
QUEBEC INTL A,2023-05-11 14:00,22.8,25,0,27,14,48.3,NA
QUEBEC INTL A,2023-05-11 15:00,23.5,23,0,27,6,48.3,NA
QUEBEC INTL A,2023-05-11 16:00,23.7,25,0,22,17,48.3,Mainly Clear
QUEBEC INTL A,2023-05-11 17:00,23.2,28,0,26,17,48.3,NA
QUEBEC INTL A,2023-05-11 18:00,21.1,30,0,23,10,48.3,NA
QUEBEC INTL A,2023-05-11 19:00,19.2,32,0,23,6,48.3,Mostly Cloudy
QUEBEC INTL A,2023-05-11 20:00,15.9,46,0,26,5,24.1,NA
QUEBEC INTL A,2023-05-11 21:00,14.5,50,0,26,11,24.1,NA
QUEBEC INTL A,2023-05-11 22:00,12.4,60,0,4,5,24.1,Mostly Cloudy
QUEBEC INTL A,2023-05-11 23:00,13.4,55,0,36,4,24.1,NA
QUEBEC INTL A,2023-05-12 00:00,12.8,57,0,4,7,24.1,NA
QUEBEC INTL A,2023-05-12 01:00,11.3,64,0,36,4,24.1,Mostly Cloudy
QUEBEC INTL A,2023-05-12 02:00,11.5,66,0,1,5,24.1,NA
QUEBEC INTL A,2023-05-12 03:00,12.7,57,0,36,7,24.1,NA
QUEBEC INTL A,2023-05-12 04:00,12,61,0,16,7,40.2,Cloudy
QUEBEC INTL A,2023-05-12 05:00,11.4,68,0,,0,48.3,NA
QUEBEC INTL A,2023-05-12 06:00,11.9,68,0,,0,48.3,NA
QUEBEC INTL A,2023-05-12 07:00,13.2,70,0,36,3,48.3,Rain Showers
QUEBEC INTL A,2023-05-12 08:00,14.9,68,0,23,9,48.3,NA
QUEBEC INTL A,2023-05-12 09:00,17.2,69,0,23,18,48.3,NA
QUEBEC INTL A,2023-05-12 10:00,17.1,67,0,24,24,48.3,Mostly Cloudy
QUEBEC INTL A,2023-05-12 11:00,17.6,75,0,24,15,32.2,NA
QUEBEC INTL A,2023-05-12 12:00,20,59,0,23,22,48.3,NA
QUEBEC INTL A,2023-05-12 13:00,21,66,0,25,18,48.3,Mostly Cloudy
QUEBEC INTL A,2023-05-12 14:00,20.4,61,0,23,17,48.3,NA
QUEBEC INTL A,2023-05-12 15:00,22.5,45,0,28,19,48.3,NA
QUEBEC INTL A,2023-05-12 16:00,22.7,37,0,28,18,48.3,Cloudy
QUEBEC INTL A,2023-05-12 17:00,21.8,37,0,27,22,48.3,NA
QUEBEC INTL A,2023-05-12 18:00,20.9,41,0,27,13,48.3,NA
QUEBEC INTL A,2023-05-12 19:00,18.8,50,0,26,8,48.3,Cloudy
QUEBEC INTL A,2023-05-12 20:00,17.9,54,0,32,9,24.1,NA
QUEBEC INTL A,2023-05-12 21:00,16.9,55,0,32,8,24.1,NA
QUEBEC INTL A,2023-05-12 22:00,14.8,66,0,36,3,24.1,Mainly Clear
QUEBEC INTL A,2023-05-12 23:00,12.9,73,0,26,7,24.1,NA
QUEBEC INTL A,2023-05-13 00:00,3,80,0,32,3,24.1,NA
QUEBEC INTL A,2023-05-13 01:00,2,86,0,35,3,24.1,Clear
QUEBEC INTL A,2023-05-13 02:00,1,88,0,36,3,24.1,NA
QUEBEC INTL A,2023-05-13 03:00,0,96,0,,4,24.1,NA
QUEBEC INTL A,2023-05-13 04:00,0,96,0,27,3,48.3,Mainly Clear
QUEBEC INTL A,2023-05-13 05:00,0,99,0,25,2,48.3,NA
QUEBEC INTL A,2023-05-13 06:00,1,96,0,25,3,48.3,NA
QUEBEC INTL A,2023-05-13 07:00,7,65,0,24,3,48.3,Mainly Clear
QUEBEC INTL A,2023-05-13 08:00,10,51,0,26,3,48.3,NA
QUEBEC INTL A,2023-05-13 09:00,13,38,0,27,7,48.3,NA
QUEBEC INTL A,2023-05-13 10:00,15,29,0,28,5,48.3,Rain Showers
QUEBEC INTL A,2023-05-13 11:00,16,28,0,28,7,48.3,NA
QUEBEC INTL A,2023-05-13 12:00,18,26,0,28,7,48.3,NA
QUEBEC INTL A,2023-05-13 13:00,18,22,0,33,13,48.3,Rain Showers
QUEBEC INTL A,2023-05-13 14:00,20,22,0,30,5,48.3,NA
QUEBEC INTL A,2023-05-13 15:00,20,19,0,30,13,48.3,NA
QUEBEC INTL A,2023-05-13 16:00,21,18,0,31,10,48.3,Mainly Clear
QUEBEC INTL A,2023-05-13 17:00,21,19,0,32,7,48.3,NA
QUEBEC INTL A,2023-05-13 18:00,20,21,0,34,6,48.3,NA
QUEBEC INTL A,2023-05-13 19:00,19,26,0,30,4,48.3,Mostly Cloudy
QUEBEC INTL A,2023-05-13 20:00,15,44,0,30,4,24.1,NA
