id,time,temp,rh,prec,wd,ws
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 14:00:00,19.5,44,0,89,8.6
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 15:00:00,20.4,70,0.6,140,6
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 16:00:00,19.4,51,0,97,10.2
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 17:00:00,17.9,49,0,108,6
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 18:00:00,14.7,55,0,43,3.6
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 19:00:00,12,50,0,331,8.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 20:00:00,11.6,72,0,227,9.7
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 21:00:00,11.2,100,1.4,188,8.5
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 22:00:00,10.5,100,0.2,13,4.2
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 23:00:00,10.25,100,0.4,198,5.8
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 00:00:00,10,100,0,254,2.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 01:00:00,8.3,100,0,254,2.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 02:00:00,7.7,100,0,290,2.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 03:00:00,7.4,100,0,290,2.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 04:00:00,7.7,100,0,308,2.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 05:00:00,8.6,100,0,122,2
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 06:00:00,9.3,100,0.2,280,3.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 07:00:00,9.8,100,0,244,5.1
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 08:00:00,10.8,95,0,212,6.2
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 09:00:00,13.8,89,0,244,7.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 10:00:00,17,78,0,122.5,6.45
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 11:00:00,19.2,67,0,1,5
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 12:00:00,22.1,53,0,136,4.7
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 13:00:00,23.4,48,0,86,6.8
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 14:00:00,23,41,0,153.5,7.95
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 15:00:00,23.5,34,0,221,9.1
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 16:00:00,23.3,32,0,204,8.4
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 17:00:00,20.6,30,0,187,7.7
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 18:00:00,19,30,0,91,7.4
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 19:00:00,17.7,37,0,318,7.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 20:00:00,15.1,40,0,296,13.6
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 21:00:00,14.9,44,0,272,13
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 22:00:00,12.8,48,0,236,10.7
FLNRO-WMB 394 ROCK CREEK, 2024-09-15 23:00:00,11.6,47,0,233,13
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 00:00:00,10.4,57,0,346,5.6
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 01:00:00,7.4,66,0,56,4.4
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 02:00:00,7.7,69,0,332,4.5
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 03:00:00,6.3,82,0,290,5.1
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 04:00:00,4.6,80,0,329,5
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 05:00:00,3.3,84,0,336,5.1
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 06:00:00,7.6,93,0,301,4.4
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 07:00:00,11.3,100,0,166,1.8
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 08:00:00,13.6,79,0,324,4.6
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 09:00:00,18,63,0,282,5.4
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 10:00:00,21.7,53,0,302,7.2
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 11:00:00,24,42,0,298,8.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 12:00:00,25.9,28,0,244,10.7
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 13:00:00,27.3,25,0,290,10.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 14:00:00,27.4,22,0,289,8.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 15:00:00,26.5,18,0,313,10.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 16:00:00,24.2,17,0,330,9.5
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 17:00:00,21.9,18,0,315,11.6
