"","ID","TIME","TEMP","RH","PREC","WD","WS","FUELTYPE","LAT","LONG","TZ_LOC","MON","DAY","HR","YR","PERCENT_CURED","MINUTE","DATE","TIMESTAMP","TIMEZONE","SOLRAD","SUNRISE","SUNSET","SUNLIGHT_HOURS"
"32","FLNRO-WMB 394 ROCK CREEK",2024-09-11 07:00:00,13.5,91,0,311,3.7,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,7,2024,100,0,2024-09-11,2024-09-11 07:00:00,-8,0.138120312611684,5.41843991990309,18.3406717198098,12.9222317999067
"33","FLNRO-WMB 394 ROCK CREEK",2024-09-11 08:00:00,14.3,84,0,326,3.4,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,8,2024,100,0,2024-09-11,2024-09-11 08:00:00,-8,0.222963875096612,5.41843991990309,18.3406717198098,12.9222317999067
"34","FLNRO-WMB 394 ROCK CREEK",2024-09-11 09:00:00,14.7,73,0,85,3.8,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,9,2024,100,0,2024-09-11,2024-09-11 09:00:00,-8,0.294998461710822,5.41843991990309,18.3406717198098,12.9222317999067
"35","FLNRO-WMB 394 ROCK CREEK",2024-09-11 10:00:00,16.6,70,0,121,4.2,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,10,2024,100,0,2024-09-11,2024-09-11 10:00:00,-8,0.349315034419338,5.41843991990309,18.3406717198098,12.9222317999067
"36","FLNRO-WMB 394 ROCK CREEK",2024-09-11 11:00:00,19.1,77,0.2,256,4.2,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,11,2024,100,0,2024-09-11,2024-09-11 11:00:00,-8,0.382212008554455,5.41843991990309,18.3406717198098,12.9222317999067
"37","FLNRO-WMB 394 ROCK CREEK",2024-09-11 12:00:00,19.3,64,0,85,3,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,12,2024,100,0,2024-09-11,2024-09-11 12:00:00,-8,0.391447509693686,5.41843991990309,18.3406717198098,12.9222317999067
"38","FLNRO-WMB 394 ROCK CREEK",2024-09-11 13:00:00,19.2,57,0,280,6.2,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,13,2024,100,0,2024-09-11,2024-09-11 13:00:00,-8,0.37639215369678,5.41843991990309,18.3406717198098,12.9222317999067
"39","FLNRO-WMB 394 ROCK CREEK",2024-09-11 14:00:00,18,51,0,242,9.4,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,14,2024,100,0,2024-09-11,2024-09-11 14:00:00,-8,0.338071938194772,5.41843991990309,18.3406717198098,12.9222317999067
"40","FLNRO-WMB 394 ROCK CREEK",2024-09-11 15:00:00,18.3,50,0,250,6.9,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,15,2024,100,0,2024-09-11,2024-09-11 15:00:00,-8,0.279098322546975,5.41843991990309,18.3406717198098,12.9222317999067
"41","FLNRO-WMB 394 ROCK CREEK",2024-09-11 16:00:00,17.3,62,0,243,9,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,16,2024,100,0,2024-09-11,2024-09-11 16:00:00,-8,0.203490261201279,5.41843991990309,18.3406717198098,12.9222317999067
